number,value,datetime_start,datetime_complete,duration,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_weight_0,params_weight_1,params_weight_2,state,trial_number,iterations,learning_rate,depth,l2_leaf_reg,class_weight_0,class_weight_1,class_weight_2,f1_score
42.0,0.4576410274487685,2025-03-30 21:51:15.903111,2025-03-30 21:51:25.158043,0 days 00:00:09.254932,10.0,239.0,0.2836856272051416,0.0091498863130328,1.7522169129571292,2.473398773664465,4.541564989616279,COMPLETE,,,,,,,,,
43.0,0.3997993268816918,2025-03-30 21:51:25.159550,2025-03-30 21:51:28.145802,0 days 00:00:02.986252,9.0,277.0,0.772103250743794,0.0068372126565815,1.9178333302463169,3.6870859151714943,4.250383489619668,COMPLETE,,,,,,,,,
44.0,0.383942105110841,2025-03-30 21:51:28.148101,2025-03-30 21:51:30.615749,0 days 00:00:02.467648,8.0,242.0,0.1985324771654681,0.0132885448106587,1.5161435087959412,3.0941872663329497,4.155917998927954,COMPLETE,,,,,,,,,
45.0,0.4349869037415033,2025-03-30 21:51:30.615749,2025-03-30 21:51:36.270356,0 days 00:00:05.654607,10.0,213.0,0.0894772679286898,0.0048118173306091,1.8425384353500056,2.756167090155231,6.053404718857545,COMPLETE,,,,,,,,,
46.0,0.1453522524730559,2025-03-30 21:51:36.270356,2025-03-30 21:51:38.576643,0 days 00:00:02.306287,8.0,169.0,1.1227946341185333,0.022594755748907,1.2297882266265598,3.3006078954765155,4.467305107077896,COMPLETE,,,,,,,,,
47.0,0.4691033441538362,2025-03-30 21:51:38.581030,2025-03-30 21:51:42.356112,0 days 00:00:03.775082,9.0,188.0,0.4154207358355564,0.0021745756823871,1.6978652203731657,2.647653691667643,5.52805671780756,COMPLETE,,,,,,,,,
48.0,0.3075406637941907,2025-03-30 21:51:42.356112,2025-03-30 21:51:48.930738,0 days 00:00:06.574626,10.0,249.0,0.1399513046433853,0.0664323731440149,1.5908303383718352,3.53106483979063,4.0130571263547,COMPLETE,,,,,,,,,
49.0,0.1423840435228071,2025-03-30 21:51:48.930738,2025-03-30 21:51:49.529533,0 days 00:00:00.598795,6.0,114.0,0.0576054468233404,0.0292556714808583,1.7941550831262778,4.185803128700094,5.158974652374448,COMPLETE,,,,,,,,,
50.0,0.2965564578570902,2025-03-30 21:51:49.529533,2025-03-30 21:51:55.526783,0 days 00:00:05.997250,9.0,141.0,0.6176641578846955,0.0115004158067681,1.4363569874587576,2.918097163166245,4.8873924570644816,COMPLETE,,,,,,,,,
51.0,0.4702233093460272,2025-03-30 21:51:55.526783,2025-03-30 21:51:59.147621,0 days 00:00:03.620838,9.0,221.0,0.3066743174800324,0.0156568108745393,1.7445037912728485,3.037630909699618,4.001137527299777,COMPLETE,,,,,,,,,
52.0,0.3003010011031813,2025-03-30 21:51:59.147621,2025-03-30 21:52:02.163162,0 days 00:00:03.015541,9.0,222.0,0.188171519224358,0.0134806522034061,1.6468694021050818,3.400432299954604,4.186992720796183,COMPLETE,,,,,,,,,
53.0,0.453526679772502,2025-03-30 21:52:02.163162,2025-03-30 21:52:11.794609,0 days 00:00:09.631447,10.0,276.0,0.2701148375712425,0.0202641367242821,1.949886432699976,2.36484584724298,4.6885334245482415,COMPLETE,,,,,,,,,
54.0,0.48178034402337,2025-03-30 21:52:11.794609,2025-03-30 21:52:15.026537,0 days 00:00:03.231928,9.0,206.0,0.365212451464898,0.0077970775190969,1.7722430412286951,3.0192668413026458,4.344030761328923,COMPLETE,,,,,,,,,
